Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Unit
38520.00195,38543.95002,11,46.9,23.948,A
38572.91047,38591.28923,11,47.8,18.379,B
39355.59677,39376.76019,12,47.4,21.163,A
39407.39144,39426.88405,11,47.8,19.493,B
39768.84022,39788.88977,11.5,43.7,20.05,A
39818.22876,39838.83523,11,46.9,20.606,B
39867.23876,39888.40217,11,46.9,21.163,B
40000.90241,40029.86287,12,46.4,28.96,A
40057.70946,40078.31594,12,46.4,20.606,B
40108.94719,40129.55367,12,46.4,20.606,B
40159.07106,40181.34834,11.5,47.4,22.277,B
40311.86431,40331.91386,12.4,45.1,20.05,A
40360.87432,40381.4808,11.5,46.9,20.606,B
40413.22591,40436.06012,11.5,46.4,22.834,B
40465.02058,40485.07012,10.6,46.9,20.05,B
40598.12729,40622.07536,12,53.3,23.948,A
40651.59275,40672.75616,11.5,49.7,21.163,B
40702.83048,40725.10776,11,47.8,22.277,B
40753.51129,40775.23163,11,47.4,21.72,B
40895.53512,40920.59705,11,46.9,25.062,A
40947.88671,40969.60706,12.4,48.3,21.72,B
45468.6603,45493.72223,10.6,45.5,25.062,A
45518.22724,45538.27678,12,47.4,20.05,B
45591.74224,45617.36111,11.5,29.9,25.619,A
45645.2077,45663.58645,11.5,21.1,18.379,B
45783.3268,45808.38874,10.6,25.3,25.062,A
45835.12147,45854.05715,11.5,21.1,18.936,B
45944.28011,45968.78512,12,19.8,24.505,A
45996.07478,46014.45353,11,20.2,18.379,B
46168.16673,46191.00093,11,19.8,22.834,A
46220.51832,46239.45401,11.5,18.9,18.936,B
46401.51807,46419.33989,11.5,18.9,17.822,B
46573.61002,46598.11503,11,17.9,24.505,A
46624.84775,46643.22651,10.6,18.4,18.379,B
47126.08644,47153.3761,11,27.1,27.29,A
47181.22269,47201.82917,11,24.8,20.606,B
47233.57429,47251.39611,11,20.2,17.822,B
47280.35656,47302.63384,11,19.8,22.277,B
47329.36657,47351.08691,11,19.3,21.72,B
47487.53522,47513.71102,11,24.4,26.176,A
47541.00068,47562.16409,10.6,20.7,21.163,B
47591.68148,47612.84489,11,20.2,21.163,B
47641.99616,47659.81798,11,20.7,17.822,B
47806.29106,47833.58073,11.5,24.8,27.29,A
47861.42732,47881.47687,11,21.1,20.05,B
47912.10812,47933.27153,11,19.3,21.163,B
47962.23199,47983.3954,11,18.9,21.163,B
48012.17745,48032.227,11,18.4,20.05,B
48167.56145,48193.18031,11.5,25.3,25.619,A
48221.58384,48241.63338,10.6,19.3,20.05,B
48270.59384,48292.87112,11,18.4,22.277,B
48320.16078,48342.43805,11,19.3,22.277,B
48370.84158,48385.87874,11,20.2,15.037,B
48436.55954,48464.96306,10.6,26.2,28.404,A
48492.80966,48512.30227,11,21.1,19.493,B
48870.40946,48898.25606,11,46.9,27.847,A
48923.87492,48947.82299,11,46,23.948,B
48975.66959,48999.06073,10.6,46.4,23.391,B
49026.90732,49051.41232,11,47.8,24.505,B
49079.25892,49100.97926,10.6,48.3,21.72,B
49263.60336,49292.00689,10.6,44.6,28.404,A
49318.18269,49340.45996,11,46,22.277,B
49369.97735,49392.81156,10.6,46.4,22.834,B
49420.65815,49440.7077,10.6,45.5,20.05,B
49567.13123,49596.09169,11.5,45.5,28.96,A
49623.93828,49645.65863,10.6,46,21.72,B
49674.61908,49698.01022,10.6,46,23.391,B
49724.74295,49746.46329,11,46.9,21.72,B
49876.78535,49904.63194,10.6,46,27.847,A
49931.36467,49952.52809,11,46.4,21.163,B
49982.60241,50005.99354,11,46.9,23.391,B
50033.28321,50054.44662,11,46.9,21.163,B
50083.96401,50105.68435,11.5,46.4,21.72,B
50232.66482,50261.62527,11,35.9,28.96,A
50288.358,50310.07835,11.5,46.4,21.72,B
50340.15267,50362.98687,11,46,22.834,B
50391.3904,50410.32608,11,46.9,18.936,B
