Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Call Type
1	Spectrogram 1	1	38520.746394955	38592.419869960	10.4	47.7	71.673	Pair
2	Spectrogram 1	1	39352.743395254	39425.204490863	9.8	47.2	72.461	Pair
3	Spectrogram 1	1	39765.564470695	39889.220905592	9.8	60.6	123.656	Phrase
4	Spectrogram 1	1	40001.850652028	40183.791011654	8.8	62.7	181.940	Phrase
5	Spectrogram 1	1	40305.084584739	40487.024944365	7.8	62.7	181.940	Phrase
6	Spectrogram 1	1	40597.698183128	40774.912819128	11.9	18.1	177.215	Phrase
7	Spectrogram 1	1	40890.693047981	41015.137103483	11.9	19.2	124.444	Phrase
9	Spectrogram 1	1	45469.131811565	45537.654804151	10.9	22.8	68.523	Pair
10	Spectrogram 1	1	45592.788246462	45663.674100862	10.9	21.8	70.886	Pair
11	Spectrogram 1	1	45782.604829402	45852.703063197	11.9	22.3	70.098	Pair
12	Spectrogram 1	1	45941.704191499	46014.165287108	11.4	19.7	72.461	Pair
13	Spectrogram 1	1	46169.326546183	46238.637159374	11.4	21.8	69.311	Pair
14	Spectrogram 1	1	46346.541199452	46418.214674456	6.7	23.3	71.673	Pair
15	Spectrogram 1	1	46571.365504760	46642.251359160	10.4	19.7	70.886	Pair
16	Spectrogram 1	1	47127.885963252	47349.994973705	11.4	32.6	222.109	Phrase
17	Spectrogram 1	1	47486.253338274	47659.529871252	11.4	35.8	173.277	Phrase
18	Spectrogram 1	1	47804.804495511	48030.063988382	11.4	18.1	225.259	Phrase
21	Spectrogram 1	1	48164.854990454	48510.620435805	11.4	29.0	345.765	Phrase_2A
22	Spectrogram 1	1	48868.987845364	49098.973061861	11.4	25.4	229.985	Phrase
23	Spectrogram 1	1	49262.798147586	49439.225162981	11.4	26.4	176.427	Phrase
24	Spectrogram 1	1	49567.607356042	49745.609612646	11.4	29.5	178.002	Phrase
25	Spectrogram 1	1	49876.354632984	50104.764608273	11.4	25.9	228.410	Phrase
26	Spectrogram 1	1	50233.934404670	50459.193897541	11.4	23.3	225.259	Phrase
27	Spectrogram 1	1	50594.664658774	50826.225116480	11.4	30.1	231.560	Phrase
28	Spectrogram 1	1	51030.218870299	51210.583988717	11.4	30.1	180.365	Phrase
29	Spectrogram 1	1	60191.034483221	60415.506355487	11.4	21.8	224.472	Phrase
30	Spectrogram 1	1	60547.039013698	60779.387092009	11.9	25.4	232.348	Phrase
31	Spectrogram 1	1	60925.096921099	61170.834549686	11.9	25.9	245.738	Phrase
32	Spectrogram 1	1	61300.004346083	61532.352424394	11.9	22.3	232.348	Phrase
33	Spectrogram 1	1	61704.841354035	61936.401811742	11.9	28.0	231.560	Phrase
34	Spectrogram 1	1	62075.023055392	62356.991231783	11.4	34.2	281.968	Phrase
35	Spectrogram 1	1	62505.851543291	62738.987242207	10.9	36.3	233.136	Phrase
36	Spectrogram 1	1	62886.272295238	63116.257511735	11.9	34.7	229.985	Phrase
37	Spectrogram 1	1	63240.701584506	63464.385836168	11.9	32.1	223.684	Phrase
38	Spectrogram 1	1	63633.724283392	63861.346638076	11.4	31.6	227.622	Phrase
39	Spectrogram 1	1	64033.835567717	64263.820784215	10.9	29.5	229.985	Phrase
40	Spectrogram 1	1	64407.167751492	64660.781586123	11.4	38.9	253.614	Phrase_2A
41	Spectrogram 1	1	64840.359101205	65069.556697098	10.9	36.8	229.198	Phrase
42	Spectrogram 1	1	65241.258006135	65518.500458899	10.9	34.7	277.242	Phrase
43	Spectrogram 1	1	65667.360770407	65894.983125092	11.4	35.8	227.622	Phrase
44	Spectrogram 1	1	67374.922200367	67447.383295976	10.4	19.7	72.461	Pair
45	Spectrogram 1	1	67519.056770980	67594.668349007	11.9	20.7	75.612	Pair
46	Spectrogram 1	1	67738.015316284	67963.274809155	11.4	26.4	225.259	Phrase
47	Spectrogram 1	1	68197.198145943	68324.005063258	11.4	26.4	126.807	Phrase
48	Spectrogram 1	1	68590.220827560	68663.469543774	11.4	24.4	73.249	Pair
49	Spectrogram 1	1	68761.134479477	68833.595575086	11.4	24.4	72.461	Pair
50	Spectrogram 1	1	69291.990784141	69364.451879749	11.4	23.8	72.461	Pair
51	Spectrogram 1	1	72819.743590344	73093.047940086	11.4	35.2	273.304	Phrase
52	Spectrogram 1	1	73247.421578557	73430.937179392	11.9	30.1	183.516	Phrase
53	Spectrogram 1	1	73575.859351362	73699.515786260	11.4	33.2	123.656	Phrase
55	Spectrogram 1	1	74352.453301880	74420.188673863	10.4	22.8	67.735	Pair
56	Spectrogram 1	1	74545.420349969	74613.155721951	12.4	19.2	67.735	Pair
57	Spectrogram 1	1	74675.377766971	74810.060890331	11.4	46.6	134.683	Phrase
