Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Unit
1	Spectrogram 1	1	29058.62217	29081.48336	10.8	30.8	22.861	A
2	Spectrogram 1	1	29107.46197	29124.60786	11.6	45.9	17.146	B
3	Spectrogram 1	1	38725.41082	38750.35029	11.2	33.5	24.939	A
4	Spectrogram 1	1	38779.96592	38795.03352	11.2	46.6	15.068	B
5	Spectrogram 1	1	41902.53651	41923.31941	10.8	85.2	20.783	A
6	Spectrogram 1	1	41949.29803	41965.92434	11.6	46.2	16.626	B
7	Spectrogram 1	1	42101.53273	42121.79606	11.9	85.5	20.263	A
8	Spectrogram 1	1	42147.2551	42165.44014	10.4	46.2	18.185	B
9	Spectrogram 1	1	43665.87259	43688.2142	11.2	86.3	22.342	A
10	Spectrogram 1	1	43714.71239	43732.37786	10.4	46.6	17.665	B
11	Spectrogram 1	1	43932.93279	43952.67654	11.6	84.8	19.744	A
12	Spectrogram 1	1	43981.25302	44000.4772	10.8	46.6	19.224	B
13	Spectrogram 1	1	44538.44811	44564.9463	11.2	92.9	26.498	A
14	Spectrogram 1	1	44593.52279	44612.22739	11.6	46.6	18.705	B
15	Spectrogram 1	1	44922.35752	44940.54255	11.2	86.7	18.185	A
16	Spectrogram 1	1	44971.19732	44989.90193	11.6	47.8	18.705	B
17	Spectrogram 1	1	45073.03351	45092.77726	11.6	87.9	19.744	A
18	Spectrogram 1	1	45119.79502	45139.0192	11.9	46.2	19.224	B
19	Spectrogram 1	1	45251.76641	45272.02973	11.6	85.9	20.263	A
20	Spectrogram 1	1	45297.48878	45318.27167	10.8	48.2	20.783	B
21	Spectrogram 1	1	45434.40439	45453.62857	11.2	88.2	19.224	A
22	Spectrogram 1	1	45479.08762	45498.3118	11.9	48.2	19.224	B
23	Spectrogram 1	1	45916.19032	45937.49279	11.9	91.7	21.302	A
24	Spectrogram 1	1	45963.47141	45981.65644	12.3	47	18.185	B
25	Spectrogram 1	1	49024.66124	49045.44414	11.6	84.8	20.783	A
26	Spectrogram 1	1	49072.4619	49091.16651	10.8	47.4	18.705	B
27	Spectrogram 1	1	49754.03165	49777.41241	10.8	88.2	23.381	A
28	Spectrogram 1	1	49804.94975	49823.65435	11.6	45.9	18.705	B
29	Spectrogram 1	1	49897.43363	49916.65781	10.8	88.2	19.224	A
30	Spectrogram 1	1	49944.19515	49961.34103	11.2	47.4	17.146	B
31	Spectrogram 1	1	50058.50107	50080.32311	12.7	85.5	21.822	A
32	Spectrogram 1	1	50104.22344	50123.96719	11.6	46.6	19.744	B
