Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	34501.679366511	34529.049658880	11.6	17.2	A
2	Spectrogram 1	1	37855.969438051	37872.718422934	11.5	17.7	A
3	Spectrogram 1	1	43238.929018180	43265.073775071	11.5	16.3	A
4	Spectrogram 1	1	47868.593082024	47895.146350740	12.5	15.8	A
5	Spectrogram 1	1	50645.656190187	50671.800947077	12.9	16.8	A
6	Spectrogram 1	1	53814.890629568	53834.090685410	11.5	16.3	A
7	Spectrogram 1	1	54577.990654894	54594.331127950	11.5	16.3	A
8	Spectrogram 1	1	55066.570732871	55087.813347844	12.0	17.3	A
9	Spectrogram 1	1	56132.786511256	56162.607874584	12.5	16.3	A
10	Spectrogram 1	1	56680.600781926	56707.971074296	12.0	15.8	A
11	Spectrogram 1	1	57380.789985985	57401.624089131	13.4	15.3	A
12	Spectrogram 1	1	119179.226194836	119200.060297983	12.0	16.3	A
13	Spectrogram 1	1	127654.620216187	127673.003248375	10.6	18.2	A
14	Spectrogram 1	1	129671.442903947	129691.868495267	13.4	15.8	A
15	Spectrogram 1	1	133256.638998824	133281.052672584	11.5	19.2	A
16	Spectrogram 1	1	133892.691868272	133922.513231600	11.5	16.8	A
17	Spectrogram 1	1	143435.525282504	143465.755157658	11.5	15.8	A
