Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	2522.642058883	2547.650324608	10.1	45.9	A
2	Spectrogram 1	1	2576.117180275	2594.474311499	9.6	47.4	B
3	Spectrogram 1	1	3151.573290230	3176.315510575	9.6	47.4	A
4	Spectrogram 1	1	3204.782366242	3223.139497466	8.1	46.9	B
5	Spectrogram 1	1	4035.109926737	4053.733103341	8.6	83.7	A
6	Spectrogram 1	1	4082.732049768	4100.823135612	9.6	50.7	B
7	Spectrogram 1	1	4410.499888057	4429.921200801	9.6	85.2	A
8	Spectrogram 1	1	5879.070268201	5900.087853226	12.0	91.4	A
9	Spectrogram 1	1	5970.057788182	5990.809327826	12.0	87.6	A
10	Spectrogram 1	1	6020.340365013	6038.963541617	11.0	47.8	B
11	Spectrogram 1	1	32881.077488701	32900.764846825	11.5	83.7	A
12	Spectrogram 1	1	32918.855932669	32931.626110912	6.2	12.4	C
13	Spectrogram 1	1	32931.892156292	32949.717196756	10.5	46.9	B
14	Spectrogram 1	1	33237.046149055	33257.797688700	10.0	45.5	A
15	Spectrogram 1	1	37144.188005720	37160.416773904	11.0	45.9	A
16	Spectrogram 1	1	37641.426785716	37666.967142202	11.5	44.5	A
17	Spectrogram 1	1	37682.397774246	37695.167952488	6.2	13.9	C
18	Spectrogram 1	1	37695.700043249	37714.323219853	11.5	47.4	B
19	Spectrogram 1	1	38226.726574734	38242.423252157	11.5	45.5	A
20	Spectrogram 1	1	41469.819486756	41492.433344061	11.0	50.2	A
21	Spectrogram 1	1	41523.028562768	41541.385693992	11.5	46.4	B
22	Spectrogram 1	1	41715.113315392	41730.011856676	10.5	45.5	A
23	Spectrogram 1	1	41988.873987917	42014.680389783	10.5	43.1	A
24	Spectrogram 1	1	42029.844976446	42042.083063929	7.2	13.9	C
25	Spectrogram 1	1	42042.349109309	42059.109968253	11.0	46.4	B
26	Spectrogram 1	1	42661.968740575	42682.188189460	9.1	45.0	A
27	Spectrogram 1	1	42699.747184544	42711.453181266	7.2	13.4	C
28	Spectrogram 1	1	42712.251317407	42729.544267110	10.5	46.9	B
29	Spectrogram 1	1	43273.074931458	43305.532467826	11.0	45.9	A
30	Spectrogram 1	1	43321.761236009	43333.733278112	7.2	12.4	C
31	Spectrogram 1	1	43333.999323492	43352.356454716	10.5	46.9	B
32	Spectrogram 1	1	43735.993857427	43749.828217190	11.5	45.0	A
33	Spectrogram 1	1	44175.766835330	44201.573237196	11.0	46.4	A
34	Spectrogram 1	1	44228.177775202	44247.333042566	11.5	45.9	B
